,l=0,l=1,l=2
5,6.1464907817275805,6.640697946683131,7.082231762085856
6,7.244599196961434,7.735420155712325,8.179546122014607
7,8.325906241210468,8.81558501039516,9.263419925731855
8,9.396625655777934,9.88664437527347,10.338272839966601
9,10.460268536144468,10.950164054555964,11.403766583486158
10,11.515695669481394,12.003030331466315,12.455445937975016
11,12.558092731217169,13.039971366804126,13.488679958902013
12,13.583012581611102,14.058701421531236,14.504322896704101
13,14.591823935686511,15.064406075043246,15.510727331101325
14,15.593006859930043,16.066818072358952,16.516778748632564
15,16.59477493777661,17.07093717913346,17.523615897803623
16,17.597478696843257,18.073401137193688,18.525463965955133
17,18.59510587609524,19.0675310883941,19.51655027064779
18,19.582170712300115,20.050347689910495,20.497080336210864
19,20.559313393606715,21.02576550508654,21.473243163924717
20,21.532815037768536,22.00058235870613,22.45074850600367
21,22.508042640884415,22.977734940066007,23.429961404208107
22,23.48502208772773,23.955186998422782,24.40782092147872
23,24.460644491663864,24.92996414013289,25.38230037407856
24,25.433030869725364,25.901676837052538,26.35447040232083
25,26.40337606301313,26.87259964548324,27.32705963805486
26,27.37438509851335,27.84518277516177,28.301823148685173
27,28.347700155020224,28.820144939409097,29.27868613667722
28,29.323169617693054,29.79683225887175,30.256846166127676
29,30.299989599410576,30.774606736884074,31.235991597375033
30,31.2778772882166,31.753547945263477,32.21646933842041
31,32.257188803927924,32.734118135151654,33.19869738996814
32,33.2383241839989,33.71655382042693,34.18272008818485
33,34.22130618852938,34.7007129454887,35.16830774838204
34,35.205897774866955,35.68635712972033,36.15528362832717
35,36.19192538609168,36.67340398469503,37.143644630517215
36,37.17938700891905,37.66189018197652,38.13341958558066
37,38.168305441546735,38.651787090343326,39.124512165617844
38,39.15857631692052,39.642926126151465,40.116716226277994
39,40.14998975467727,40.63509530180518,41.10985018962614
40,41.142365160729334,41.6281670083646,42.1038439959672
41,42.135633961429235,42.62211966074026,43.09870233084423
42,43.129799445408096,43.616956898912164,44.094409911664684
43,44.12484249411936,44.61262747599241,45.090883773815925
44,45.12067656532349,45.609020975692125,46.0880043200543
45,46.11718048795831,46.60602224942175,47.085674237303294
46,47.11425686970154,47.60355778763424,48.08384318224053
47,48.11185518560027,48.60159376584631,49.08248530948215
48,49.109948391082256,49.600101246586,50.08156365987228
49,50.10849768329923,50.599029891739654,51.08101814073386
50,51.10744140738321,51.59831243178463,52.08078214800234
51,52.10671214726863,52.597887792366144,53.080804967069675
52,53.106258832238154,53.59771640602561,54.081057148637356
53,54.106051517610275,54.59777452613397,55.081516832938036
54,55.10606742123792,55.59803650093215,56.082152887937475
55,56.1062742635086,56.59846313830263,57.08292049422825
56,57.10662625239475,57.599005332183204,58.083770757020744
57,58.10707390118423,58.599616973037,59.08466345168804
58,59.10757665232397,59.6002643888317,60.085571535026595
59,60.108107113874254,60.6009250867714,61.08647530470918
60,61.108645049974605,61.60157898923349,62.087353111563495
61,62.10916813995518,62.60220083727711,63.088176819185975
62,63.10964760597725,63.602759524580485,64.08891447794235
63,64.11005101035369,64.60322320278951,65.0895363247123
64,65.11034824713086,65.60356471073472,66.09001859660327
65,66.1105152599252,66.6037630828754,67.09034289369328
66,67.11053331956562,67.603801194198,68.09049301606461
67,68.11038585133475,68.60366268477594,69.09045269898502
68,69.11005621770043,69.60333100297684,70.09020596413035
69,70.1095281180154,70.60279086649997,71.08973917698881
70,71.10878765476787,71.6020303871633,72.08904278321077
71,72.10782504338485,72.6010420906961,73.08811157600937
72,73.10663484952927,73.5998225220585,74.08694393304141
73,74.10521521916213,,
