 n,        l = 0,        l = 1,        l = 2,   sigma(l = 0),   sigma(l = 1),   sigma(l = 2)
12,     -99.9999,     -99.9999,      14.2208,        -9.9999,        -9.9999,        -9.9999
13,     -99.9999,      14.8173,     -99.9999,        -9.9999,        -9.9999,        -9.9999
14,      15.3354,     -99.9999,     -99.9999,        -9.9999,        -9.9999,        -9.9999
15,      16.3365,      16.8101,     -99.9999,         0.0032,         0.0013,        -9.9999
16,      17.3388,      17.7993,      18.2552,         0.0019,         0.0026,         0.0076
17,      18.3282,      18.7817,      19.2063,         0.0014,         0.0018,         0.0047
18,      19.3062,      19.7624,      20.2023,         0.0013,         0.0018,         0.0021
19,      20.2903,      20.7576,      21.1979,         0.0014,         0.0012,         0.0018
20,      21.2911,      21.7581,      22.2039,         0.0012,         0.0013,         0.0021
21,      22.2924,      22.7609,      23.2028,         0.0013,         0.0014,         0.0019
22,      23.2926,      23.7635,      24.2009,         0.0013,         0.0014,         0.0027
23,      24.2853,      24.7625,      25.2003,         0.0016,         0.0016,         0.0022
24,      25.2883,      25.7669,      26.2074,         0.0012,         0.0007,         0.0035
25,      26.2890,      26.7674,      27.2036,         0.0015,         0.0022,         0.0041
26,      27.2969,      27.7841,      28.2301,         0.0040,         0.0030,         0.0096
27,      28.3016,      28.7762,     -99.9999,         0.0104,         0.0031,        -9.9999
28,     -99.9999,     -99.9999,     -99.9999,        -9.9999,        -9.9999,        -9.9999
29,     -99.9999,      30.7902,     -99.9999,        -9.9999,        -9.9999,        -9.9999
